"distance","spectrumID","i"
1.55645030008614e-10,"spec-6383-56362-0003.fits",891
1.21039994836836e-08,"spec-5109-55892-0779.fits",677
1.657477578576e-07,"spec-6260-56568-0983.fits",884
2.54087228667501e-07,"spec-4852-55689-0914.fits",897
2.71241065689213e-07,"spec-5807-56329-0002.fits",885
3.45673044404877e-07,"spec-4385-55752-0064.fits",879
4.84169680309348e-07,"spec-6689-56396-0942.fits",828
8.61644755835633e-07,"spec-5126-55923-0550.fits",875
9.60859700228873e-07,"spec-5066-55749-0492.fits",892
1.70044987796696e-06,"spec-7260-56679-0786.fits",672
1.83028607411428e-06,"spec-4289-55856-0226.fits",900
2.0604006880708e-06,"spec-4363-55537-0492.fits",903
2.36584106330618e-06,"spec-7261-56603-0821.fits",668
2.37106029150932e-06,"spec-6118-56189-0761.fits",874
2.42876545531251e-06,"spec-5783-56017-0782.fits",853
4.82951759186526e-06,"spec-3963-55659-0376.fits",894
6.69515995809451e-06,"spec-6789-56401-0924.fits",883
7.58153423105636e-06,"spec-5895-56046-0758.fits",865
7.96658702279717e-06,"spec-7258-56605-0461.fits",617
8.19451476151301e-06,"spec-5738-56002-0492.fits",903
8.21982483272086e-06,"spec-4470-55587-0351.fits",696
8.32510132938286e-06,"spec-5329-55946-0957.fits",882
8.54394224913043e-06,"spec-7091-56658-0034.fits",881
8.80136404620645e-06,"spec-6802-56456-0976.fits",814
9.00531001139133e-06,"spec-5435-55982-0978.fits",883
9.26277030483796e-06,"spec-5014-55717-0624.fits",851
9.69338392539092e-06,"spec-7260-56679-0991.fits",671
1.31592896591522e-05,"spec-6800-56399-0012.fits",881
1.47853908938754e-05,"spec-7258-56605-0885.fits",670
1.49064347459e-05,"spec-7310-56693-0550.fits",893
2.30575376052664e-05,"spec-4440-55539-0417.fits",897
2.56719411209803e-05,"spec-7056-56577-0532.fits",893
2.61760013229964e-05,"spec-4231-55444-0652.fits",900
2.62660701174283e-05,"spec-3937-55352-0550.fits",855
2.71729375597658e-05,"spec-4190-55686-0156.fits",889
2.80268289406912e-05,"spec-4268-55483-0508.fits",917
2.83232309027009e-05,"spec-4086-55446-0006.fits",881
3.13976199420476e-05,"spec-5033-56244-0699.fits",884
3.14416430516226e-05,"spec-6056-56092-0556.fits",860
3.15599099415618e-05,"spec-3681-55243-0488.fits",890
3.25829367374847e-05,"spec-5992-56066-0030.fits",864
3.26065300239096e-05,"spec-6450-56331-0048.fits",885
3.71000099675203e-05,"spec-4390-55948-0699.fits",745
3.71011727299475e-05,"spec-6682-56390-0705.fits",873
3.76920443833961e-05,"spec-6478-56341-0088.fits",886
4.07454475728968e-05,"spec-7258-56605-0745.fits",672
4.12568327755429e-05,"spec-4751-55646-0550.fits",856
4.57482908424623e-05,"spec-7091-56658-0978.fits",878
4.64724543791879e-05,"spec-6376-56269-0556.fits",887
5.04722057351668e-05,"spec-7314-56990-0486.fits",893
5.24178564556599e-05,"spec-5441-56017-0440.fits",892
5.56658173482741e-05,"spec-5065-55739-0550.fits",829
5.78532989257865e-05,"spec-7258-56605-0816.fits",670
6.07986680402803e-05,"spec-5868-56045-0550.fits",885
6.10842025938141e-05,"spec-4612-55590-0052.fits",899
6.26791162226216e-05,"spec-6026-56071-0957.fits",893
6.35869824972003e-05,"spec-5168-56035-0978.fits",888
6.62983294173309e-05,"spec-5335-56013-0035.fits",891
6.89954284654881e-05,"spec-5808-56325-0006.fits",889
7.05138196331404e-05,"spec-5779-56338-0561.fits",893
7.15456826235826e-05,"spec-5126-55923-0052.fits",899
7.34517415267985e-05,"spec-7389-56769-0442.fits",889
7.45276037537085e-05,"spec-3839-55575-0613.fits",853
7.61965627005363e-05,"spec-3779-55222-0745.fits",890
7.99895460938774e-05,"spec-7258-56605-0545.fits",680
8.24121829277614e-05,"spec-3842-55565-0148.fits",899
